AddressOfEntryPoint,MajorLinkerVersion,MajorImageVersion,MajorOperatingSystemVersion,DllCharacteristics,SizeOfStackReserve,NumberOfSections,ResourceSize,IfMalware
53102,11,0,4,34112,1048576,3,6864,1
39716,2,6,1,32768,1048576,8,11264,0
